Player,Nation,Team,Position,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP_x,PrgR_x,Gls_per90,Ast_per90,xG_per90,xAG_per90,GA90,Save%,CS%,PenSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist_x,ShortCmp%,MedCmp%,LongCmp%,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,TotDist_y,PrgDist,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%
Altay Bayındır,tr TUR,Manchester Utd,GK,27-020,1,1,90.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,4.00,33.3,0.0,N/a,N/a,N/a,N/a,N/a,32,52.5,942,100.0,85.0,33.3,1,1,0,0,0,0,0.00,0,0.00,0,0,1,1,0,0,0,0,66,58,64,2,0,0,0,N/a,N/a,45,163,59,0,0,0,0,43,0,0,0,0,0,0,1,1,50.0
Andrés García,es ESP,Aston Villa,"DF,MF",22-086,7,5,318.0,0,0,0,0,0.0,0.2,26,15,28,0.00,0.00,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,26.6,174,86.6,2725,92.7,90.2,53.8,9,9,8,5,15,3,0.85,0,0.00,9,5,8,4,2,0,2,2,256,8,38,108,112,2,18,27.8,66.7,159,1262,673,13,2,10,6,168,28,1,0,0,18,15,0,6,0.0
Andy Irving,sct SCO,West Ham,MF,24-356,10,1,166.0,0,0,2,0,0.1,0.2,0,9,4,0.00,0.00,0.06,0.13,N/a,N/a,N/a,N/a,50.0,50.0,0.00,26.2,109,87.9,1705,95.3,83.7,100.0,14,14,1,1,9,5,2.68,0,0.00,7,4,5,4,5,1,4,1,150,7,37,89,24,0,1,100.0,0.0,73,305,137,1,0,1,3,104,4,6,1,0,2,10,1,1,50.0
Antony,br BRA,Manchester Utd,"DF,MF",25-069,8,0,141.0,0,0,0,0,1.0,0.1,5,6,7,0.00,0.00,0.65,0.08,N/a,N/a,N/a,N/a,50.0,50.0,0.00,15.8,56,81.2,688,88.2,64.3,100.0,1,1,5,2,6,8,5.11,0,0.00,6,3,5,3,2,0,2,2,101,2,22,26,54,8,11,36.4,54.5,60,317,182,6,1,5,1,69,7,2,5,0,5,11,0,1,0.0
Antonín Kinský,cz CZE,Tottenham,GK,22-052,4,4,360.0,0,0,0,0,0.0,0.1,1,1,0,0.00,0.00,0.00,0.02,1.75,56.3,25.0,N/a,N/a,N/a,N/a,N/a,116,80.0,2699,100.0,96.1,47.9,2,2,0,0,1,1,0.25,0,0.00,3,1,1,0,0,0,0,0,156,134,154,2,0,0,0,N/a,N/a,97,444,267,0,0,0,0,98,0,0,0,0,0,4,2,0,100.0
Armando Broja,al ALB,Everton,FW,23-236,10,4,334.0,0,0,1,0,0.1,0.2,12,2,26,0.00,0.00,0.03,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,17.3,53,72.6,594,77.8,83.3,66.7,3,3,0,0,2,7,1.89,0,0.00,3,1,0,0,3,0,3,1,127,4,14,47,72,18,16,50.0,43.8,64,577,281,8,3,16,13,94,26,6,4,3,1,9,18,21,46.2
Armel Bella Kotchap,de GER,Southampton,DF,23-144,4,2,331.0,0,0,0,0,0.3,0.0,0,5,0,0.00,0.00,0.09,0.00,N/a,N/a,N/a,N/a,0.0,0.0,0.00,9.1,202,90.2,3829,98.5,96.7,55.2,6,6,0,0,5,2,0.54,0,0.00,7,5,6,3,2,2,0,5,263,33,147,115,3,1,1,0.0,100.0,186,936,326,0,0,1,0,192,0,3,2,0,0,19,6,5,54.5
Axel Disasi,fr FRA,Aston Villa,DF,27-054,7,5,490.0,0,0,2,0,0.1,0.4,10,16,5,0.00,0.00,0.02,0.07,N/a,N/a,N/a,N/a,0.0,0.0,0.00,19.5,243,86.8,4080,94.5,89.7,53.3,14,14,3,0,16,9,1.65,0,0.00,8,5,7,4,4,1,3,5,334,32,130,178,29,6,15,60.0,40.0,207,1268,621,8,2,3,2,223,5,3,2,2,1,15,8,6,57.1
Axel Disasi,fr FRA,Chelsea,DF,27-054,6,4,364.0,1,0,1,0,0.3,0.1,6,16,2,0.25,0.00,0.07,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,19.5,243,86.8,4080,94.5,89.7,53.3,14,14,3,0,16,9,1.65,0,0.00,8,5,7,4,4,1,3,5,334,32,130,178,29,6,15,60.0,40.0,207,1268,621,8,2,3,2,223,5,3,2,2,1,15,8,6,57.1
Ayden Heaven,eng ENG,Manchester Utd,DF,18-224,2,1,95.0,0,0,0,0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,40,81.6,695,82.4,88.9,33.3,2,2,0,0,2,2,1.89,0,0.00,3,3,2,0,2,2,0,1,67,21,42,23,3,1,2,100.0,0.0,42,245,122,1,0,2,1,40,1,2,3,0,0,4,1,2,33.3
Ben Brereton,cl CHI,Southampton,FW,26-016,10,4,449.0,0,0,1,0,0.9,0.1,12,9,42,0.00,0.00,0.18,0.02,N/a,N/a,N/a,N/a,9.1,9.1,0.00,17.3,128,77.1,1836,87.4,67.9,63.6,9,9,2,1,9,9,1.80,0,0.00,3,2,9,8,2,1,1,0,206,4,19,76,112,20,4,25.0,50.0,136,791,394,13,4,9,4,171,42,4,8,1,5,16,9,7,56.3
Ben Chilwell,eng ENG,Crystal Palace,DF,28-134,6,0,139.0,0,0,1,0,0.1,0.2,2,3,10,0.00,0.00,0.05,0.13,N/a,N/a,N/a,N/a,50.0,50.0,0.00,27.6,45,65.2,618,83.9,64.0,11.1,4,4,2,0,3,3,1.93,0,0.00,4,4,3,3,3,1,2,4,98,6,35,43,25,1,5,40.0,40.0,39,203,146,1,0,2,2,42,10,2,2,2,3,12,3,3,50.0
Ben Godfrey,eng ENG,Ipswich Town,DF,27-109,3,2,159.0,0,0,1,0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,47,82.5,657,90.9,88.9,N/a,5,5,1,0,4,1,0.57,0,0.00,1,0,1,0,1,1,0,2,68,6,26,33,9,1,0,N/a,N/a,33,202,79,2,0,2,1,42,1,1,0,0,0,2,3,0,100.0
Ben Mee,eng ENG,Brentford,DF,35-225,7,2,183.0,0,0,2,0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,93,77.5,1751,89.5,85.0,40.0,10,10,0,0,11,0,0.00,0,0.00,2,2,1,0,3,3,0,4,138,18,66,62,11,3,0,N/a,N/a,78,404,274,1,1,0,0,86,2,5,0,0,0,11,5,5,50.0
Ben White,eng ENG,Arsenal,DF,27-208,14,10,941.0,0,1,2,0,0.4,0.8,11,44,28,0.00,0.10,0.04,0.08,N/a,N/a,N/a,N/a,14.3,14.3,0.00,19.1,449,83.6,7269,92.4,84.6,48.9,39,39,8,1,44,16,1.53,1,0.10,13,9,28,17,9,7,2,15,633,46,183,289,165,20,4,0.0,75.0,292,1140,625,11,3,8,4,375,28,8,4,1,10,26,15,5,75.0
Benoît Badiashile,fr FRA,Chelsea,DF,24-039,5,3,334.0,0,0,0,0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,273,89.8,4820,93.3,93.8,65.6,37,37,1,0,17,0,0.00,0,0.00,9,6,5,1,2,2,0,6,336,31,138,186,13,0,1,0.0,100.0,177,660,340,5,0,1,0,247,2,6,2,0,0,18,8,2,80.0
Billy Gilmour,sct SCO,Brighton,MF,23-327,2,1,98.0,0,0,0,0,0.1,0.0,2,11,2,0.00,0.00,0.07,0.00,N/a,N/a,N/a,N/a,0.0,0.0,0.00,25.5,58,86.6,980,94.7,81.8,57.1,12,12,2,0,11,3,2.76,0,0.00,3,3,4,1,1,0,1,0,73,2,14,46,13,0,2,50.0,50.0,44,210,117,0,0,0,0,58,2,2,3,0,1,5,0,0,N/a
Bobby De Cordova-Reid,jm JAM,Leicester City,FW,32-091,23,9,744.0,1,2,2,0,0.8,1.2,14,15,48,0.12,0.24,0.10,0.15,N/a,N/a,N/a,N/a,42.9,42.9,0.14,25.1,145,70.4,1883,81.5,73.6,33.3,9,9,5,0,15,13,1.57,3,0.36,9,4,14,10,6,1,5,0,272,15,49,114,109,16,10,0.0,80.0,174,816,389,5,6,11,10,188,48,9,9,4,15,29,6,14,30.0
Brajan Gruda,de GER,Brighton,"FW,MF",20-338,17,6,507.0,0,3,0,0,0.4,1.2,16,17,47,0.00,0.53,0.07,0.22,N/a,N/a,N/a,N/a,50.0,50.0,0.00,16.8,138,73.4,1846,82.6,71.1,38.1,7,7,10,1,17,26,4.61,4,0.71,14,6,14,7,8,0,8,2,259,4,33,89,141,33,23,39.1,43.5,152,1063,491,17,10,9,20,170,47,6,9,1,17,19,3,4,42.9
Brandon Austin,eng ENG,Tottenham,GK,26-116,1,1,90.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.00,50.0,0.0,N/a,N/a,N/a,N/a,N/a,22,68.8,526,100.0,100.0,37.5,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,36,30,36,0,0,0,0,N/a,N/a,22,104,46,0,0,0,0,16,0,0,2,0,0,1,2,0,100.0
Callum Wilson,eng ENG,Newcastle Utd,FW,33-066,14,1,268.0,0,0,1,0,0.3,0.1,5,3,11,0.00,0.00,0.11,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,15.0,27,69.2,381,76.5,80.0,N/a,1,1,0,0,3,6,2.01,0,0.00,2,2,2,2,2,0,2,1,71,1,5,41,28,15,5,20.0,40.0,36,210,92,4,5,10,8,42,11,2,1,3,2,10,2,12,14.3
